timestamp,queue_len,cpu,mem
2025-05-04T19:41:48.420325,0,0.0,0.764
2025-05-04T19:41:50.425514,1,0.07200000000000001,0.763
2025-05-04T19:41:52.430846,4,0.115,0.7659999999999999
2025-05-04T19:41:54.436581,5,0.092,0.762
2025-05-04T19:41:56.442700,7,0.08900000000000001,0.762
2025-05-04T19:41:58.448269,7,0.083,0.7609999999999999
2025-05-04T19:42:00.453807,14,0.081,0.755
2025-05-04T19:42:02.459209,20,0.091,0.7559999999999999
2025-05-04T19:42:04.464953,18,0.156,0.764
2025-05-04T19:42:06.471073,20,0.11199999999999999,0.762
2025-05-04T19:42:08.475411,25,0.14,0.763
2025-05-04T19:42:10.481958,27,0.145,0.762
2025-05-04T19:42:12.487347,27,0.102,0.759
2025-05-04T19:42:14.492992,24,0.066,0.757
2025-05-04T19:42:16.494433,20,0.08199999999999999,0.774
2025-05-04T19:42:18.500576,16,0.141,0.758
2025-05-04T19:42:20.506359,14,0.18100000000000002,0.78
2025-05-04T19:42:22.511985,9,0.15,0.77
2025-05-04T19:42:24.518342,6,0.102,0.759
2025-05-04T19:42:26.521468,4,0.111,0.75
2025-05-04T19:42:28.525349,0,0.06,0.742
2025-05-04T19:42:30.527003,0,0.04,0.738
2025-05-04T19:42:32.532660,0,0.04,0.741
2025-05-04T19:42:34.537741,0,0.039,0.7440000000000001
2025-05-04T19:42:36.541932,0,0.069,0.743
2025-05-04T19:42:38.543141,0,0.076,0.7440000000000001
2025-05-04T19:42:40.546790,0,0.046,0.742
2025-05-04T19:42:42.549760,0,0.039,0.741
2025-05-04T19:42:44.555858,0,0.043,0.742
2025-05-04T19:42:46.561955,0,0.045,0.742
2025-05-04T19:42:48.568037,0,0.078,0.742
2025-05-04T19:42:50.570496,0,0.05,0.73
2025-05-04T19:42:52.574052,0,0.149,0.736
2025-05-04T19:42:54.578009,0,0.102,0.746
2025-05-04T19:42:56.584392,0,0.10099999999999999,0.742
2025-05-04T19:42:58.590528,0,0.096,0.759
2025-05-04T19:43:00.595978,0,0.275,0.768
2025-05-04T19:43:02.599655,0,0.12300000000000001,0.7609999999999999
2025-05-04T19:43:04.615019,0,0.17800000000000002,0.748
2025-05-04T19:43:06.620517,0,0.19,0.7509999999999999
2025-05-04T19:43:08.626245,0,0.126,0.748
2025-05-04T19:43:10.632103,0,0.252,0.7559999999999999
2025-05-04T19:43:12.635267,0,0.15,0.7559999999999999
2025-05-04T19:43:14.636348,0,0.149,0.76
2025-05-04T19:43:16.641921,0,0.131,0.759
2025-05-04T19:43:18.647359,0,0.14,0.7559999999999999
2025-05-04T19:43:20.652968,0,0.127,0.755
2025-05-04T19:43:22.654410,0,0.149,0.7559999999999999
2025-05-04T19:43:24.658377,0,0.162,0.77
2025-05-04T19:43:26.664453,0,0.152,0.767
2025-05-04T19:43:28.670510,0,0.08900000000000001,0.775
2025-05-04T19:43:30.676919,0,0.18,0.7759999999999999
2025-05-04T19:43:32.681967,0,0.133,0.765
2025-05-04T19:43:34.686998,0,0.134,0.759
2025-05-04T19:43:36.690536,0,0.10300000000000001,0.758
2025-05-04T19:43:38.693125,0,0.045,0.754
2025-05-04T19:43:40.699177,0,0.102,0.7559999999999999
2025-05-04T19:43:42.705123,0,0.084,0.757
